inputs,time
5000,0.025
6000,0.034
7000,0.044
8000,0.056
9000,0.070
10000,0.087
11000,0.103
12000,0.123
13000,0.143
14000,0.165
15000,0.188
16000,0.214
17000,0.241
18000,0.271
19000,0.300
20000,0.332
21000,0.367
22000,0.401
23000,0.437
24000,0.475
25000,0.515
26000,0.557
27000,0.600
28000,0.645
29000,0.693
30000,0.739
31000,0.789
32000,0.841
33000,0.893
34000,0.948
35000,1.007
36000,1.064
37000,1.122
38000,1.242
39000,1.246
40000,1.311
41000,1.377
42000,1.446
43000,1.724
44000,1.731
45000,1.675
46000,1.772
47000,1.811
48000,1.906
49000,1.979
50000,2.053
51000,2.161
52000,2.216
53000,2.328
54000,2.518
