inputs,time
5000,0.025
6000,0.034
7000,0.044
8000,0.056
9000,0.070
10000,0.088
11000,0.104
12000,0.124
13000,0.143
14000,0.165
15000,0.190
16000,0.214
17000,0.245
18000,0.273
19000,0.346
20000,0.372
21000,0.388
22000,0.413
23000,0.465
24000,0.486
25000,0.526
26000,0.559
27000,0.615
28000,0.651
29000,0.696
30000,0.750
31000,0.795
32000,0.841
33000,0.893
34000,0.949
35000,1.009
36000,1.064
37000,1.122
38000,1.184
39000,1.247
40000,1.311
41000,1.378
42000,1.445
43000,1.514
44000,1.585
45000,1.656
46000,1.729
47000,1.807
48000,1.886
49000,1.965
50000,2.045
51000,2.130
52000,2.211
53000,2.296
54000,2.384
