inputs,time
5000,0.036
5500,0.039
6000,0.045
6500,0.052
7000,0.059
7500,0.066
8000,0.077
8500,0.086
9000,0.092
9500,0.101
10000,0.111
10500,0.124
11000,0.140
11500,0.143
12000,0.154
12500,0.181
13000,0.179
13500,0.193
14000,0.262
14500,0.221
15000,0.238
15500,0.264
16000,0.264
16500,0.283
17000,0.301
17500,0.337
18000,0.334
18500,0.358
19000,0.371
19500,0.393
20000,0.413
20500,0.535
21000,0.491
21500,0.483
22000,0.495
22500,0.509
23000,0.537
23500,0.563
24000,0.581
24500,0.630
25000,0.840
25500,0.652
26000,0.714
26500,0.730
27000,0.731
27500,0.758
28000,0.850
28500,0.810
29000,0.843
29500,0.871
30000,0.898
30500,0.925
31000,0.956
31500,0.983
32000,1.013
32500,1.050
33000,1.081
33500,1.116
34000,1.147
34500,1.173
35000,1.204
35500,1.239
36000,1.276
36500,1.318
37000,1.342
37500,1.388
38000,1.415
38500,1.575
39000,1.492
39500,1.555
40000,1.706
40500,1.623
41000,1.662
41500,1.702
42000,1.737
42500,1.782
43000,1.820
43500,1.889
44000,1.937
44500,1.948
45000,1.976
45500,2.044
46000,2.064
46500,2.111
47000,2.156
47500,2.194
48000,2.279
48500,2.306
49000,2.366
49500,2.396
50000,2.468
50500,2.550
51000,2.552
51500,2.626
52000,2.639
52500,2.699
53000,2.729
53500,2.841
54000,2.875
54500,2.895
