inputs,time
5000,0.035
5500,0.044
6000,0.047
6500,0.054
7000,0.059
7500,0.069
8000,0.076
8500,0.083
9000,0.092
9500,0.104
10000,0.112
10500,0.122
11000,0.135
11500,0.145
12000,0.162
12500,0.169
13000,0.184
13500,0.216
14000,0.213
14500,0.219
15000,0.243
15500,0.253
16000,0.268
16500,0.313
17000,0.306
17500,0.328
18000,0.337
18500,0.356
19000,0.375
19500,0.435
20000,0.410
20500,0.439
21000,0.482
21500,0.488
22000,0.504
22500,0.511
23000,0.537
23500,0.590
24000,0.602
24500,0.603
25000,0.625
25500,0.658
26000,0.674
26500,0.737
27000,0.776
27500,0.769
28000,0.799
28500,0.850
29000,0.840
29500,0.870
30000,1.032
30500,1.016
31000,1.040
31500,1.027
32000,1.037
32500,1.067
33000,1.284
33500,1.155
34000,1.166
34500,1.186
35000,1.221
35500,1.251
36000,1.431
36500,1.322
37000,1.380
37500,1.386
38000,1.465
38500,1.465
39000,1.579
39500,2.674
40000,1.622
40500,1.629
41000,1.664
41500,1.695
42000,1.757
42500,1.790
43000,1.905
43500,1.946
44000,1.915
44500,1.954
45000,2.305
45500,2.803
46000,2.506
46500,2.691
47000,2.158
47500,2.195
48000,2.254
48500,2.283
49000,2.333
49500,2.386
50000,2.442
50500,2.486
51000,2.533
51500,2.572
52000,2.645
52500,2.698
53000,2.756
53500,2.766
54000,2.848
54500,2.901
